top - 21:23:06 up  6:02,  1 user,  load average: 1.33, 0.68, 0.25
任务: 289 total,   1 running, 288 sleeping,   0 stopped,   0 zombie
%Cpu(s): 28.9 us, 15.8 sy,  0.0 ni, 55.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3877.9 total,    635.1 free,   1734.2 used,   1508.6 buff/cache
MiB Swap:    923.3 total,    923.3 free,      0.0 used.   1824.3 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
   1912 chen      20   0  323124   9880   8900 S   0.0   0.2   0:00.69 gsd-hou+
   1915 chen      20   0  357632  30980  20812 S   0.0   0.8   0:00.56 gsd-key+
   1916 chen      20   0  912888  33972  23096 S   0.0   0.9   0:00.70 gsd-med+
   1918 chen      20   0  231804   5752   4740 S   0.0   0.1   0:00.02 gsd-dis+
   1923 chen      20   0  729216  60372  44324 S   0.0   1.5   0:00.76 evoluti+
   1926 chen      20   0  358052  31340  20996 S   0.0   0.8   0:00.67 gsd-pow+
   1929 chen      20   0  257064  11352   9928 S   0.0   0.3   0:00.03 gsd-pri+
   1930 chen      20   0  465932   6224   5612 S   0.0   0.2   0:00.05 gsd-rfk+
   1936 chen      20   0  244340   6000   5488 S   0.0   0.2   0:00.02 gsd-scr+
   1945 chen      20   0  477872  13132  11620 S   0.0   0.3   0:00.10 gsd-sha+
   1947 chen      20   0  327056  10988   9868 S   0.0   0.3   0:00.06 gsd-sma+
   1950 chen      20   0  175460   9040   8184 S   0.0   0.2   0:00.90 ibus-en+
   1956 chen      20   0  330808  12172  10780 S   0.0   0.3   0:00.07 gsd-sou+
   1962 chen      20   0  396860   9540   8504 S   0.0   0.2   0:00.06 gsd-usb+
   1966 chen      20   0  642628  44888  32100 S   0.0   1.1   0:55.03 vmtoolsd
   1970 chen      20   0  357184  30596  20336 S   0.0   0.8   0:00.57 gsd-wac+
   1973 chen      20   0  327324  10680   9472 S   0.0   0.3   0:00.05 gsd-wwan
   1978 chen      20   0  358468  32076  21284 S   0.0   0.8   0:00.60 gsd-xse+
   2013 chen      20   0  351012  15048  13156 S   0.0   0.4   0:00.05 gsd-pri+
   2199 chen      20   0  253988  10740   9516 S   0.0   0.3   0:00.03 ibus-en+
   2228 chen      20   0  514004  48744  37316 S   0.0   1.2   0:01.16 update-+
   3033 chen      20   0  619136  10900   9608 S   0.0   0.3   0:00.68 xdg-des+
   3037 chen      20   0  540168   6956   6284 S   0.0   0.2   0:00.05 xdg-doc+
   3046 chen      20   0  358296  32044  22416 S   0.0   0.8   0:00.60 xdg-des+
   3564 chen      20   0 1057372  64404  47188 S   0.0   1.6   0:01.94 gnome-t+
   3576 chen      20   0   19248   4844   3436 S   0.0   0.1   0:00.04 bash
   3835 chen      20   0 3576472 524288 244300 S   0.0  13.2   1:10.58 firefox
   3891 chen      20   0  208600  45908  38036 S   0.0   1.2   0:00.07 Socket +
   3905 chen      20   0 2485376 120768  96036 S   0.0   3.0   0:12.78 Privile+
   3953 chen      20   0 2475476 106320  85140 S   0.0   2.7   0:00.89 WebExte+
   3990 chen      20   0  212080  41928  34128 S   0.0   1.1   0:00.11 Utility+
   3992 chen      20   0 2699248 268424 131684 S   0.0   6.8   0:20.35 Isolate+
   3997 chen      20   0 2690492 245444 137744 S   0.0   6.2   0:13.52 Isolate+
   4015 chen      20   0 2590596 177404 102268 S   0.0   4.5   0:03.92 Isolate+
   4223 root      20   0       0      0      0 I   0.0   0.0   0:04.08 kworker+
   4454 root      20   0       0      0      0 I   0.0   0.0   0:01.77 kworker+
   4519 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
   4553 root      20   0       0      0      0 I   0.0   0.0   0:00.23 kworker+
   4567 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
   4593 root      20   0       0      0      0 I   0.0   0.0   0:00.30 kworker+
   4595 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
   4637 chen      20   0 2442632 103400  85376 S   0.0   2.6   0:00.50 Isolate+
   4659 chen      20   0  211804  40288  32588 S   0.0   1.0   0:00.09 RDD Pro+
   4693 chen      20   0 2403792  78936  67848 S   0.0   2.0   0:00.19 Web Con+
   4722 chen      20   0 2403792  76424  65472 S   0.0   1.9   0:00.34 Web Con+
   4739 chen      20   0 2403792  76068  65164 S   0.0   1.9   0:00.30 Web Con+
